gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC004076.2	NA	NA	NA
AC004080.1	NA	NA	NA
AC004080.2	NA	NA	NA
AC004080.3	NA	NA	NA
AC004080.4	NA	NA	NA
AC004080.5	NA	NA	NA
AC004080.6	NA	NA	NA
AC004112.1	NA	NA	NA
AC004129.1	NA	NA	NA
AC004129.2	NA	NA	NA
AC004130.1	NA	NA	NA
AC004134.1	NA	NA	NA
AC004147.1	NA	NA	NA
AC004147.2	NA	NA	NA
AC004147.3	NA	NA	NA
AC004147.4	NA	NA	NA
AC004147.5	NA	NA	NA
AC004148.1	NA	NA	NA
AC004148.2	NA	NA	NA
AC004149.1	NA	NA	NA
AC004156.1	NA	NA	NA
AC004158.1	NA	NA	NA
AC004160.1	NA	NA	NA
AC004160.2	NA	NA	NA
AC004217.1	NA	NA	NA
AC004217.2	NA	NA	NA
AC004217.3	NA	NA	NA
AC004221.1	NA	NA	NA
AC004223.1	NA	NA	NA
AC004223.2	NA	NA	NA
AC004223.3	NA	NA	NA
AC004223.4	NA	NA	NA
AC004224.1	NA	NA	NA
AC004224.2	NA	NA	NA
AC004231.1	NA	NA	NA
AC004231.3	NA	NA	NA
AC004232.1	NA	NA	NA
AC004232.2	NA	NA	NA
AC004232.3	NA	NA	NA
AC004233.1	NA	NA	NA
AC004233.2	NA	NA	NA
AC004233.3	NA	NA	NA
AC004233.4	NA	NA	NA
AC004241.1	NA	NA	NA
AC004241.2	NA	NA	NA
AC004241.3	NA	NA	NA
AC004241.4	NA	NA	NA
AC004241.5	NA	NA	NA
AC004253.1	NA	NA	NA
AC004253.2	NA	NA	NA
AC004257.1	NA	NA	NA
AC004263.1	NA	NA	NA
AC004263.2	NA	NA	NA
AC004264.1	NA	NA	NA
AC004264.2	NA	NA	NA
AC004381.1	NA	NA	NA
AC004381.2	NA	NA	NA
AC004383.1	NA	NA	NA
AC004386.1	NA	NA	NA
AC004386.2	NA	NA	NA
AC004408.1	NA	NA	NA
AC004408.2	NA	NA	NA
AC004415.1	NA	NA	NA
AC004448.1	NA	NA	NA
AC004448.2	NA	NA	NA
AC004448.3	NA	NA	NA
AC004448.4	NA	NA	NA
AC004448.5	NA	NA	NA
AC004449.1	NA	NA	NA
AC004453.1	NA	NA	NA
AC004453.2	NA	NA	NA
AC004461.1	NA	NA	NA
AC004461.2	NA	NA	NA
AC004466.1	NA	NA	NA
AC004466.2	NA	NA	NA
AC004466.3	NA	NA	NA
AC004467.1	NA	NA	NA
AC004470.1	NA	NA	NA
AC004471.1	NA	NA	NA
AC004471.2	NA	NA	NA
AC004477.1	NA	NA	NA
AC004477.2	NA	NA	NA
AC004477.3	NA	NA	NA
AC004485.1	NA	NA	NA
AC004486.1	NA	NA	NA
AC004490.1	NA	NA	NA
AC004491.1	NA	NA	NA
AC004492.1	NA	NA	NA
AC004494.1	NA	NA	NA
AC004494.2	NA	NA	NA
AC004520.1	NA	NA	NA
AC004522.1	NA	NA	NA
AC004522.2	NA	NA	NA
AC004528.1	NA	NA	NA
AC004528.2	NA	NA	NA
AC004534.1	NA	NA	NA
AC004540.1	NA	NA	NA
AC004540.2	NA	NA	NA
AC004542.1	NA	NA	NA
AC004542.2	NA	NA	NA
AC004543.1	NA	NA	NA
AC004551.1	NA	NA	NA
AC004552.1	NA	NA	NA
AC004554.1	NA	NA	NA
AC004554.2	NA	NA	NA
AC004556.1	NA	NA	NA
AC004584.1	NA	NA	NA
AC004584.2	NA	NA	NA
AC004584.3	NA	NA	NA
AC004585.1	NA	NA	NA
AC004585.2	NA	NA	NA
AC004590.1	NA	NA	NA
AC004593.1	NA	NA	NA
AC004594.1	NA	NA	NA
AC004596.1	NA	NA	NA
AC004597.1	NA	NA	NA
AC004623.1	NA	NA	NA
AC004637.1	NA	NA	NA
AC004656.1	NA	NA	NA
AC004672.1	NA	NA	NA
AC004672.2	NA	NA	NA
AC004674.1	NA	NA	NA
AC004678.1	NA	NA	NA
AC004678.2	NA	NA	NA
AC004686.1	NA	NA	NA
AC004687.1	NA	NA	NA
AC004690.1	NA	NA	NA
AC004690.2	NA	NA	NA
AC004691.1	NA	NA	NA
AC004691.2	NA	NA	NA
AC004692.1	NA	NA	NA
AC004692.2	NA	NA	NA
AC004696.1	NA	NA	NA
AC004696.2	NA	NA	NA
AC004702.1	NA	NA	NA
AC004704.1	NA	NA	NA
AC004706.1	NA	NA	NA
AC004706.2	NA	NA	NA
AC004706.3	NA	NA	NA
AC004706.4	NA	NA	NA
AC004707.1	NA	NA	NA
AC004754.1	NA	NA	NA
AC004771.1	NA	NA	NA
AC004771.2	NA	NA	NA
AC004771.3	NA	NA	NA
AC004771.4	NA	NA	NA
AC004771.5	NA	NA	NA
AC004775.1	NA	NA	NA
AC004777.1	NA	NA	NA
AC004784.1	NA	NA	NA
AC004790.1	NA	NA	NA
AC004790.2	NA	NA	NA
AC004792.1	NA	NA	NA
AC004801.1	NA	NA	NA
AC004801.2	NA	NA	NA
AC004801.3	NA	NA	NA
AC004801.4	NA	NA	NA
AC004801.5	NA	NA	NA
AC004801.6	NA	NA	NA
AC004801.7	NA	NA	NA
AC004803.1	NA	NA	NA
AC004805.1	NA	NA	NA
AC004805.2	NA	NA	NA
AC004805.3	NA	NA	NA
AC004808.1	NA	NA	NA
