gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
ABHD16B	0.999778673932175	7.81321759675923e-09	1.25430791908615e-06
ABHD17A	0.995772900529602	1.48925479643812e-07	2.39080002774296e-05
ABHD17AP1	0.34945890625131	1.54970779699484e-05	0.00248784926052289
ABHD17AP3	0.560604636863442	1.21049717753002e-05	0.00194329183464329
ABHD17AP4	0.99513325416663	1.7140598876805e-07	2.75169463064401e-05
ABHD17AP5	0.978889257689858	7.37463302842098e-07	0.000118389901386331
ABHD17AP6	0.990492291169935	3.34081011384904e-07	5.36322523988332e-05
ABHD17AP7	0.997695522536682	8.12675524335753e-08	1.30464220815331e-05
ABHD17AP8	0.99426661088737	2.01841309040806e-07	3.24029312115419e-05
ABHD17AP9	0.997448556266499	8.9965711090908e-08	1.4442795489831e-05
ABHD17B	0.999884780850042	4.06766389745679e-09	6.53009208508048e-07
ABHD17C	0.999300101172581	2.47018040613833e-08	3.96554531679227e-06
ABHD18	0.996635583094621	1.18583436478706e-07	1.90369897683875e-05
ABHD2	0.999638425156398	1.27633623576675e-08	2.04898766495749e-06
ABHD3	0.999835310357012	5.81401220337078e-09	9.33362146649584e-07
ABHD4	0.998858394130042	4.02822425496712e-08	6.4667769971694e-06
ABHD5	0.998402098955276	5.63700183889893e-08	9.0494549254162e-06
ABHD6	0.999963617200325	1.28449858143196e-09	2.06209122271637e-07
ABHD8	0.99882048891541	4.16189613540081e-08	6.6813693800267e-06
ABI1	0.996862952738097	1.10582076300698e-07	1.7752478066205e-05
ABI1P1	0.998735906920666	4.460154334405e-08	7.1601831546469e-06
ABI2	0.99600430147129	1.40789285600331e-07	2.26018427957549e-05
ABI3	0.999273400207741	2.5643829213016e-08	4.11677489577665e-06
ABI3BP	0.998573461159721	5.0329096658233e-08	8.07966547931014e-06
ABL1	0.999268397742384	2.58203162224266e-08	4.14510753220692e-06
ABL2	0.998982350820381	3.59105837696792e-08	5.76496546314007e-06
ABLIM1	0.999542812976934	1.61376399194762e-08	2.59068294152663e-06
ABLIM2	0.999175546537384	2.90959469305277e-08	4.67096637157639e-06
ABLIM3	0.999596750984084	1.42341375170034e-08	2.28510100836615e-06
ABO	0.999742923850307	9.07509905448944e-09	1.45688616367971e-06
ABR	0.987233657687637	4.4784820520919e-07	7.18960586193588e-05
ABRA	0.999721018225172	9.84828623825852e-09	1.58101105787692e-06
ABRACL	0.999818834367013	6.39560875912119e-09	1.02672971981094e-06
ABRAXAS1	0.999571337831284	1.51309946719728e-08	2.42907946766746e-06
ABRAXAS2	0.999210784138282	2.78528608557968e-08	4.47140547514272e-06
ABT1	0.998995813174105	3.54357657924172e-08	5.68873976717953e-06
ABT1P1	0.999494038235849	1.78588393411245e-08	2.86699856158505e-06
ABTB1	0.997000282192989	1.05748434315436e-07	1.69765012877447e-05
ABTB2	0.999829537929614	6.01777791721246e-09	9.66074015395678e-07
AC000032.1	0.918503456233516	2.76005156205137e-06	0.000443089481189297
AC000035.1	0.999909432017543	3.19742554642931e-09	5.13304043296855e-07
AC000036.1	0.999211975130086	2.78108451601502e-08	4.4646604153613e-06
AC000041.1	0.517825076667906	1.2919382678539e-05	0.00207403464740537
AC000041.2	NA	NA	NA
AC000058.1	0.99943109444475	2.00799226268998e-08	3.223563871561e-06
AC000061.1	0.999881619554254	4.17926277295716e-09	6.70924920129759e-07
AC000067.1	0.994848518976839	1.81408422002377e-07	2.9122703609443e-05
AC000068.1	0.999615203525371	1.35829134467452e-08	2.18055566602689e-06
AC000068.2	0.997984961279139	7.10707714425215e-08	1.14094648372384e-05
AC000068.3	0.998017170281933	6.99358816276533e-08	1.12272734078496e-05
AC000077.1	0.999179054623212	2.89721932330401e-08	4.65109936533312e-06
AC000078.1	0.999388712263491	2.15753742465961e-08	3.46363869169314e-06
AC000081.1	0.999899127946033	3.5611836739811e-09	5.71700561039995e-07
AC000089.1	0.67769808024388	9.54535574131054e-06	0.00153237960527125
AC000095.1	0.999241292930697	2.67765587874041e-08	4.29861952735678e-06
AC000095.2	0.983197256748228	5.88249440805667e-07	9.44356051604903e-05
AC000099.1	0.999967165925096	1.15921253585203e-09	1.86096117971454e-07
AC000111.1	0.999988720500199	3.98228929072928e-10	6.39303453615007e-08
AC000111.2	0.999735670286794	9.33112477431855e-09	1.49798767965497e-06
AC000111.3	0.999939543714429	2.13438984924242e-09	3.4264783454032e-07
AC000120.1	0.999541503702679	1.6183843662394e-08	2.59810033646226e-06
AC000123.1	0.99979002016236	7.41271684345997e-09	1.19001286263315e-06
AC000123.2	0.99886648163354	3.99970320052389e-08	6.42099024669713e-06
AC000123.3	0.999612243119293	1.36873924236479e-08	2.19732837285146e-06
AC000124.1	0.999633342270306	1.29427521094831e-08	2.07778629798142e-06
AC000362.1	0.999996526713472	1.22626765138022e-10	1.96860922788503e-08
AC000367.1	0.997844360559897	7.60244333217568e-08	1.22047092095668e-05
AC000372.1	0.999971499153048	1.00622937448191e-09	1.61536710990011e-07
AC000374.1	0.999440756624194	1.97389845795014e-08	3.16883081344841e-06
AC000403.1	0.999724393271812	9.72916073485299e-09	1.56188704649028e-06
AC001226.1	0.997835632177533	7.63319297568016e-08	1.22540736626607e-05
AC001226.2	0.962272384753495	1.30687504485279e-06	0.000209801365150108
AC002044.1	0.990673989871827	3.27726412078711e-07	5.26121061999505e-05
AC002044.2	0.999558956189767	1.55679476914314e-08	2.49922644946952e-06
AC002044.3	0.996226149491617	1.3298720288636e-07	2.13493224336497e-05
AC002056.1	0.245211086585103	1.65914334665964e-05	0.00266353344552631
AC002056.2	0.99997628417968	8.3729484184083e-10	1.34416524015222e-07
AC002059.1	0.999962219075589	1.33385859029609e-09	2.14133213625516e-07
AC002064.1	0.998675131203946	4.67444978601407e-08	7.50420593226529e-06
AC002064.2	1	3.91972540822326e-21	6.29259656382401e-19
AC002064.3	0.999864630521551	4.77899717557857e-09	7.6720428279188e-07
AC002066.1	0.999174941606335	2.9117286858783e-08	4.67439221255316e-06
AC002069.1	0.996000180067977	1.40934213115318e-07	2.26251089761076e-05
AC002069.2	0.999979904749329	7.09470723098733e-10	1.13896065906526e-07
AC002070.1	0.999325349629929	2.3811001041882e-08	3.82253876822644e-06
AC002075.1	0.9580958694105	1.4484589927012e-06	0.000232530780375328
AC002075.2	0.84256761852366	5.12074227184311e-06	0.000822066901840307
AC002076.1	0.997578984825974	8.53722820501945e-08	1.37053816970913e-05
AC002076.2	NA	NA	NA
AC002090.1	0.999779134410927	7.79696364457255e-09	1.25169856376081e-06
